time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
22500,2021-04-17 20:55:10,38.9261780956464,-76.6331663082768,0,Available with any HD 360 subscription,Available with any HD 360 subscription,125.00236456438,0,0,0,11,4,0,125.00236456438,0,0,0,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1024,1024,274.1,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,GEO: You are in a Warning Zone (Unpaved Airports). Fly with caution.
22600,2021-04-17 20:55:11,38.9261780939843,-76.6331663076055,0,,,125.00236456438,0,0,0.00063563978412,11,4,0,125.00236456438,0,0,0.00063563978412,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1024,1024,273.5,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,
22700,2021-04-17 20:55:11,38.9261778927378,-76.6331666042363,0,,,125.00236456438,0,0,0.11197014794,11,4,0,125.00236456438,0,0,0.11197014794,0,0,0,272.2, 1, 1.6,0,0,1024,1024,1024,1024,273.2,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,
22800,2021-04-17 20:55:11,38.926177891463,-76.6331666016499,0,,,125.00236456438,0,0,0.111729990452,11,4,0,125.00236456438,0,0,0.11197014794,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1024,1024,273,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,
22900,2021-04-17 20:55:11,38.9261776906502,-76.633166703625,0,,,125.00236456438,0,0,0.185542000688,11,4,0,125.00236456438,0,0,0.185542000688,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1024,1024,272.9,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,
23000,2021-04-17 20:55:11,38.9261776916317,-76.633166706809,0,,,125.00236456438,0,0,0.185805780224,11,4,0,125.00236456438,0,0,0.185805780224,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1024,1024,272.8,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,
23100,2021-04-17 20:55:11,38.9261774924687,-76.6331668071446,0,,,125.00236456438,0,0,0.261687016248,11,4,0,125.00236456438,0,0,0.261687016248,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1024,1024,272.7,0,98,4.263,4.264,4.265,4.263,0,0,0,78.71,125.00236456438,0,32,GPSNovice,
23200,2021-04-17 20:55:11,38.9261774925809,-76.6331668067317,0,,,125.00236456438,0,0,0.261589247216,11,4,17.03,125.00236456438,0,0,0.261687016248,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1028,1024,272.7,0,98,4.263,4.264,4.265,4.263,0,0,1.092,78.71,125.00236456438,0,32,GPSNovice,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 15. Setting new Maximum Flight Altitude to 30m (98 ft)
23300,2021-04-17 20:55:11,38.9261771927049,-76.6331670060006,0,,,125.00236456438,0,0,0.38437993356,11,4,17.03,125.00236456438,0,0,0.38437993356,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1028,1024,272.6,0,98,4.263,4.264,4.265,4.263,0,0,1.092,78.71,125.00236456438,0,32,GPSNovice,
23400,2021-04-17 20:55:11,38.9261771924852,-76.6331670051375,0,,,125.00236456438,0,0,0.38432415928,11,4,17.03,125.00236456438,0,0,0.38437993356,0,0,0,272.1, 1, 1.6,0,0,1024,1024,1028,1024,272.6,0,98,4.263,4.264,4.265,4.263,0,0,1.092,78.71,125.00236456438,0,32,GPSNovice,
