time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
168200,2021-02-26 22:57:27,38.9259786668901,-76.6332154767797,0,Available with any HD 360 subscription,Available with any HD 360 subscription,127.66347882276,0,0,0,11,3,0,127.66347882276,0,0,0,0,0,0,274.8, -1.9, 5.9,0,0,1024,1024,1024,1024,279.5,-20.2,71,3.989,3.988,3.986,3.984,0,0,0,96.71,127.66347882276,0,32,GPSNovice,GEO: You are in a Warning Zone (Unpaved Airports). Fly with caution.
168300,2021-02-26 22:57:27,38.925978668804,-76.6332154773513,0,,,127.66347882276,0,0,0.00071686025916,11,3,0,127.66347882276,0,0,0.00071686025916,0,0,0,274.8, -1.9, 5.9,0,0,1024,1024,1024,1024,279.5,-20.2,71,3.989,3.988,3.986,3.984,0,0,0,96.71,127.66347882276,0,32,GPSNovice,
168400,2021-02-26 22:57:27,38.9259790699639,-76.6332155773198,0,,,127.66347882276,0,0,0.149804466736,11,3,0,127.66347882276,0,0,0.149804466736,0,0,0,274.8, -1.9, 5.9,0,0,1024,1024,1024,1024,279.5,-20.2,71,3.989,3.988,3.986,3.984,0,0,0,96.71,127.66347882276,0,32,GPSNovice,
168500,2021-02-26 22:57:27,38.9259790718145,-76.6332155771699,0,,,127.66347882276,0,0,0.1504593224,11,3,0,127.66347882276,0,0,0.1504593224,0,0,0,274.8, -2, 5.9,0,0,364,364,637,1579,279.5,-20.2,71,3.989,3.988,3.986,3.984,0,0,0,96.71,127.66347882276,0,32,GPSNovice,
168600,2021-02-26 22:57:27,38.9259797724795,-76.6332153736987,0,,,127.66347882276,0,0,0.40443242764,11,3,15.937,127.66347882276,0,0,0.40443242764,0,0,0,274.8, -2, 5.9,0,0,1024,1024,1042,1063,279.5,-20.2,71,3.989,3.988,3.986,3.984,0,0,1.536,96.71,127.66347882276,0,32,GPSNovice,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 12. Setting new Maximum Flight Altitude to 30m (98 ft)
168700,2021-02-26 22:57:27,38.9259797727724,-76.6332153701422,0,,,127.66347882276,0,0,16.5165359616,11,3,15.937,127.66347882276,0,0,16.5165359616,0,0,0,274.8, -2, 5.9,0,0,1024,1024,1028,1024,276.9,-20.2,71,3.989,3.988,3.986,3.984,0,0,1.536,96.71,127.66347882276,0,32,GPSNovice,
168800,2021-02-26 22:57:27,38.9259803717076,-76.6332154669832,0,,,127.66347882276,0,0,16.5113850428,11,3,15.937,127.66347882276,0,0,16.5165359616,0,0,0,274.8, -2, 5.9,0,0,1024,1024,1028,1024,276.9,-20.2,71,3.989,3.988,3.986,3.984,0,0,1.536,96.71,127.66347882276,0,32,GPSNovice,
168900,2021-02-26 22:57:28,38.9259803706473,-76.6332154680277,0,,,127.66347882276,0,0,16.5110241504,11,3,15.937,127.66347882276,0,0,16.5165359616,0,0,0,274.8, -2, 5.9,0,0,1024,1024,1028,1024,276.1,-20.2,71,3.989,3.988,3.986,3.984,0,0,1.536,96.71,127.66347882276,0,32,GPSNovice,
169000,2021-02-26 22:57:28,38.9259809718321,-76.6332154711989,0,,,127.66347882276,0,0,16.5353023664,11,3,15.937,127.66347882276,0,0,16.5353023664,0,0,0,274.8, -2, 5.9,0,0,1024,1024,1028,1024,275.9,-20.2,71,3.989,3.988,3.986,3.984,0,0,1.536,96.71,127.66347882276,0,32,GPSNovice,
169100,2021-02-26 22:57:28,38.9259809709792,-76.6332154702345,0,,,127.66347882276,0,0,16.5355320252,11,3,15.937,127.66347882276,0,0,16.5355320252,0,0,0,274.8, -2, 5.9,0,0,1024,1024,1028,1024,275.9,-20.2,71,3.989,3.988,3.986,3.984,0,0,1.536,96.71,127.66347882276,0,32,GPSNovice,
