time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
233100,,38.9262018203225,-76.6332851106131,0,Available with any HD 360 subscription,Available with any HD 360 subscription,125.32135735674,0,0,0,15,4,0,125.32135735674,0,0,0,0,0,0,192, -3, 0,0,0,1024,1024,1024,1024,196.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,GEO: You are in a Warning Zone (Unpaved Airports). Fly with caution.
233200,,38.92620182003,-76.6332851100731,0,,,125.32135735674,0,0,0.000186757223824,15,4,0,125.32135735674,0,0,0.000186757223824,0,0,0,192, -3, 0,0,0,1024,1024,1024,1024,196.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
233300,2021-03-10 20:51:04,38.9262022201143,-76.6332855102611,0,,,125.32135735674,0,0,0.18478018964,15,4,0,125.32135735674,0,0,0.18478018964,0,0,0,192, -3, 0,0,0,1024,1024,1024,1024,196.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
233400,2021-03-10 20:51:04,38.9262022198468,-76.6332855118931,0,,,125.32135735674,0,0,0.184987866812,15,4,0,125.32135735674,0,0,0.184987866812,0,0,0,192, -3, 0,0,0,1024,1024,1024,1024,196.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
233500,2021-03-10 20:51:04,38.9262025217602,-76.6332858166425,0,,,125.32135735674,0,0,0.325043973656,15,4,0,125.32135735674,0,0,0.325043973656,0,0,0,192, -3, 0,0,0,1024,1024,1024,1153,196.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
233600,2021-03-10 20:51:04,38.926202524105,-76.6332858224674,0,,,125.32135735674,0,0,0.326737871348,15,4,0,125.32135735674,0,0,0.326737871348,0,0,0,192, -3, 0,0,0,1024,1024,1026,1024,193.9,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
233800,2021-03-10 20:51:04,38.9262029290801,-76.6332860361907,0,,,125.32135735674,0,0,0.48235237764,15,4,0,125.32135735674,0,0,0.48235237764,0,0,0,192, -3, 0,0,0,1024,1024,1026,1024,193.4,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
233900,2021-03-10 20:51:04,38.9262032310942,-76.6332864370794,0,,,125.32135735674,0,0,0.63771983668,15,4,0,125.32135735674,0,0,0.63771983668,0,0,0,192, -3, 0,0,0,1024,1024,1026,1024,193.1,-7.8,89,4.151,4.152,4.152,4.151,0,0,0,91.31,125.32135735674,0,32,GPSNovice,
234000,2021-03-10 20:51:04,38.9262032343465,-76.6332864411584,0,,,125.32135735674,0,0,0.63936353752,15,4,16.604,125.32135735674,0,0,0.63936353752,0,0,0,192, -3, 0,0,0,1024,1024,1027,1024,192.9,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
234100,2021-03-10 20:51:05,38.9262035311138,-76.6332866463503,0,,,125.32135735674,0,0,0.76132220284,15,4,16.604,125.32135735674,0,0,0.76132220284,0,0,0,192, -3, 0,0,0,1024,1024,1026,1024,192.8,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
234200,2021-03-10 20:51:05,38.9262035329812,-76.6332866530138,0,,,125.32135735674,0,0,0.76296262284,15,4,16.604,125.32135735674,0,0,0.76296262284,0,0,0,192, -3, 0,0,0,1024,1024,1026,1024,192.7,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
234300,2021-03-10 20:51:05,38.9262037331877,-76.6332869495454,0,,,125.32135735674,0,0,0.87149937172,15,4,16.604,125.32135735674,0,0,0.87149937172,0,0,0,192, -3, 0,0,0,1024,1024,1026,1024,192.6,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
234400,2021-03-10 20:51:05,38.9262037327834,-76.6332869470163,0,,,125.32135735674,0,0,0.87095147144,15,4,16.604,125.32135735674,0,0,0.87149937172,0,0,0,192, -3.1, 0,0,0,1024,1024,1026,1024,192.6,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
234500,2021-03-10 20:51:05,38.9262039328529,-76.6332872495229,0,,,125.32135735674,0,0,0.98113848284,15,4,16.604,125.32135735674,0,0,0.98113848284,0,0,0,192, -3.1, 0,0,0,1024,1024,1026,1024,192.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
234600,2021-03-10 20:51:05,38.9262039322243,-76.6332872477138,0,,,125.32135735674,0,0,0.980643076,15,4,16.604,125.32135735674,0,0,0.98113848284,0,0,0,192, -3.2, 0,0,0,1024,1024,1027,1024,192.5,-7.8,89,4.151,4.152,4.152,4.151,0,0,1.1,91.31,125.32135735674,0,32,GPSNovice,
